CountFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
31015,DETAIL,ALLOCATION,101701010401,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31035,DETAIL,ALLOCATION,102702060409,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31035,DETAIL,ALLOCATION,102702060410,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31145,DETAIL,ALLOCATION,102500140205,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31157,DETAIL,ALLOCATION,101800090606,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31127,DETAIL,ALLOCATION,102400080409,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31019,DETAIL,ALLOCATION,102001020301,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31139,DETAIL,ALLOCATION,102200020604,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31153,DETAIL,ALLOCATION,102002020202,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31007,DETAIL,ALLOCATION,101800130204,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31027,DETAIL,ALLOCATION,101701011107,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31067,DETAIL,ALLOCATION,102400080103,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31123,DETAIL,ALLOCATION,101800091005,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31099,DETAIL,ALLOCATION,102001011004,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31047,DETAIL,ALLOCATION,102001010802,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31077,DETAIL,ALLOCATION,102100100402,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31159,DETAIL,ALLOCATION,102702030506,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31083,DETAIL,ALLOCATION,102500090905,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31161,DETAIL,ALLOCATION,101500030905,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31031,DETAIL,ALLOCATION,101500040202,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31151,DETAIL,ALLOCATION,102702040204,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31051,DETAIL,ALLOCATION,101701011502,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31185,DETAIL,ALLOCATION,102702010302,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,102200010703,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31177,DETAIL,ALLOCATION,102300010611,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,102200010803,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31061,DETAIL,ALLOCATION,102500160309,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31145,DETAIL,ALLOCATION,102500040708,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31129,DETAIL,ALLOCATION,102702060901,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101701010404,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31067,DETAIL,ALLOCATION,102702020402,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31093,DETAIL,ALLOCATION,102100070707,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31157,DETAIL,ALLOCATION,101800090808,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31131,DETAIL,ALLOCATION,102400060204,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31161,DETAIL,ALLOCATION,101402011103,NeDNR,2016,12,WHITE HAT,41,http://www.westernstateswater.org/Nebraska
31145,DETAIL,ALLOCATION,102500040608,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31169,DETAIL,ALLOCATION,102702060807,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31109,DETAIL,ALLOCATION,102002030307,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31065,DETAIL,ALLOCATION,102500090303,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31165,DETAIL,ALLOCATION,101201080302,NeDNR,2016,12,WHITE HAT,41,http://www.westernstateswater.org/Nebraska
31115,DETAIL,ALLOCATION,102100060806,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31047,DETAIL,ALLOCATION,102001010607,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31121,DETAIL,ALLOCATION,102001030207,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31185,DETAIL,ALLOCATION,102702030502,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31147,DETAIL,ALLOCATION,102400050800,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31143,DETAIL,ALLOCATION,102702010504,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31027,DETAIL,ALLOCATION,101701011502,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31001,DETAIL,ALLOCATION,102702060402,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31137,DETAIL,ALLOCATION,102001011001,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31155,DETAIL,ALLOCATION,102002030703,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31153,DETAIL,ALLOCATION,102300060104,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31171,DETAIL,ALLOCATION,102100010904,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31069,DETAIL,ALLOCATION,101800091704,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31103,DETAIL,ALLOCATION,101500061103,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31147,DETAIL,ALLOCATION,102400080305,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31159,DETAIL,ALLOCATION,102702030607,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31131,DETAIL,ALLOCATION,102400060401,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31103,DETAIL,ALLOCATION,101500060703,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31107,DETAIL,ALLOCATION,101701010405,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31063,DETAIL,ALLOCATION,102500080405,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31157,DETAIL,ALLOCATION,101800090605,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31151,DETAIL,ALLOCATION,102702020203,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500070502,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31055,DETAIL,ALLOCATION,102200031003,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31045,DETAIL,ALLOCATION,101402010303,NeDNR,2016,12,WHITE HAT,41,http://www.westernstateswater.org/Nebraska
31179,DETAIL,ALLOCATION,102200040105,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31045,DETAIL,ALLOCATION,101500031101,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31163,DETAIL,ALLOCATION,102100050401,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31085,DETAIL,ALLOCATION,102500050501,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31099,DETAIL,ALLOCATION,102500160305,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31009,DETAIL,ALLOCATION,102100060704,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31127,DETAIL,ALLOCATION,102400080304,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31133,DETAIL,ALLOCATION,102400070101,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31155,DETAIL,ALLOCATION,102002020101,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31047,DETAIL,ALLOCATION,102001020201,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,102200010608,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31155,DETAIL,ALLOCATION,102002031002,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31063,DETAIL,ALLOCATION,102500040802,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31147,DETAIL,ALLOCATION,102400070303,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31183,DETAIL,ALLOCATION,102100090304,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31127,DETAIL,ALLOCATION,102400080205,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31165,DETAIL,ALLOCATION,101201080103,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31003,DETAIL,ALLOCATION,102200010904,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,102200010902,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31131,DETAIL,ALLOCATION,102400010206,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31111,DETAIL,ALLOCATION,102500080305,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31173,DETAIL,ALLOCATION,102200040401,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31067,DETAIL,ALLOCATION,102702020204,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,102200010903,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31155,DETAIL,ALLOCATION,102002030803,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31031,DETAIL,ALLOCATION,101500031606,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31047,DETAIL,ALLOCATION,102001010704,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31007,DETAIL,ALLOCATION,101800130402,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31063,DETAIL,ALLOCATION,102500080503,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31019,DETAIL,ALLOCATION,102100040404,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31041,DETAIL,ALLOCATION,102100050306,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31035,DETAIL,ALLOCATION,102702060602,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31055,DETAIL,ALLOCATION,102300060203,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31111,DETAIL,ALLOCATION,101800140807,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31123,DETAIL,ALLOCATION,101800130503,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31123,DETAIL,ALLOCATION,101800091004,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31057,DETAIL,ALLOCATION,102500021108,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31017,DETAIL,ALLOCATION,101500041204,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31087,DETAIL,ALLOCATION,102500050503,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31165,DETAIL,ALLOCATION,101201080108,NeDNR,2016,#N/A,,41,http://www.westernstateswater.org/Nebraska
31143,DETAIL,ALLOCATION,102702010503,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31103,DETAIL,ALLOCATION,101500060902,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31145,DETAIL,ALLOCATION,102500040808,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31051,DETAIL,ALLOCATION,101701011504,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31165,DETAIL,ALLOCATION,101201080102,NeDNR,2016,12,WHITE HAT,41,http://www.westernstateswater.org/Nebraska
31109,DETAIL,ALLOCATION,102002030305,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31175,DETAIL,ALLOCATION,102100030504,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500070501,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31131,DETAIL,ALLOCATION,102400060102,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31141,DETAIL,ALLOCATION,102002010204,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31023,DETAIL,ALLOCATION,102702010404,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31163,DETAIL,ALLOCATION,102100030706,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31003,DETAIL,ALLOCATION,102200011304,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31059,DETAIL,ALLOCATION,102702030601,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31107,DETAIL,ALLOCATION,101701010504,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31031,DETAIL,ALLOCATION,101500031603,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31067,DETAIL,ALLOCATION,102702020603,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31151,DETAIL,ALLOCATION,102702040305,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31153,DETAIL,ALLOCATION,102002020203,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31127,DETAIL,ALLOCATION,102400070102,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31159,DETAIL,ALLOCATION,102702020104,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31001,DETAIL,ALLOCATION,102702030301,NeDNR,2016,3,LITTLE BLUE,41,http://www.westernstateswater.org/Nebraska
31083,DETAIL,ALLOCATION,102500090904,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31003,DETAIL,ALLOCATION,102200011305,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31091,DETAIL,ALLOCATION,102100010802,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500010304,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31129,DETAIL,ALLOCATION,102702060508,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,101500070603,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31003,DETAIL,ALLOCATION,101500070804,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31101,DETAIL,ALLOCATION,101800140304,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31011,DETAIL,ALLOCATION,102100090308,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31157,DETAIL,ALLOCATION,101800090402,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31039,DETAIL,ALLOCATION,102200040406,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31159,DETAIL,ALLOCATION,102702020103,NeDNR,2016,1,BIG BLUE,41,http://www.westernstateswater.org/Nebraska
31025,DETAIL,ALLOCATION,102400010305,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31015,DETAIL,ALLOCATION,101500070503,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31037,DETAIL,ALLOCATION,102002010209,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31109,DETAIL,ALLOCATION,102002030405,NeDNR,2016,6,LOWER PLATTE,41,http://www.westernstateswater.org/Nebraska
31179,DETAIL,ALLOCATION,102200030301,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31045,DETAIL,ALLOCATION,101500031201,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31019,DETAIL,ALLOCATION,102001020403,NeDNR,2016,10,PLATTE,41,http://www.westernstateswater.org/Nebraska
31173,DETAIL,ALLOCATION,102200040305,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31063,DETAIL,ALLOCATION,102500080504,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31079,DETAIL,ALLOCATION,102001030104,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31139,DETAIL,ALLOCATION,102200020504,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31107,DETAIL,ALLOCATION,101500070903,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31105,DETAIL,ALLOCATION,101900160105,NeDNR,2016,#N/A,,41,http://www.westernstateswater.org/Nebraska
31065,DETAIL,ALLOCATION,102500110305,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31089,DETAIL,ALLOCATION,101500071003,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31085,DETAIL,ALLOCATION,102500060703,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31167,DETAIL,ALLOCATION,102200030503,NeDNR,2016,2,ELKHORN,41,http://www.westernstateswater.org/Nebraska
31011,DETAIL,ALLOCATION,102100100605,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31055,DETAIL,ALLOCATION,102300060101,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
31031,DETAIL,ALLOCATION,101500040607,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31017,DETAIL,ALLOCATION,101500041105,NeDNR,2016,9,NIOBRARA,41,http://www.westernstateswater.org/Nebraska
31097,DETAIL,ALLOCATION,102400060401,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31129,DETAIL,ALLOCATION,102702060501,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31009,DETAIL,ALLOCATION,102100060803,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31073,DETAIL,ALLOCATION,102001010604,NeDNR,2016,11,REPUBLICAN,41,http://www.westernstateswater.org/Nebraska
31019,DETAIL,ALLOCATION,102100040407,NeDNR,2016,5,LOUP,41,http://www.westernstateswater.org/Nebraska
31147,DETAIL,ALLOCATION,102400080403,NeDNR,2016,8,NEMAHA,41,http://www.westernstateswater.org/Nebraska
31177,DETAIL,ALLOCATION,102300060203,NeDNR,2016,7,MISSOURI TRIBUTARIES,41,http://www.westernstateswater.org/Nebraska
